Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
     624  0x0270  DamageIAL_G10
     625  0x0271  DestructionIAL_G10
     626  0x0272  Kills_Date_G10
     627  0x0273  TimePlayed_Date_G10
     628  0x0274  KillsIAL_Date_G10
     629  0x0275  DamageIAL_Date_G10
     630  0x0276  DestructionIAL_Date_G10
     631  0x0277  Destruction_Date_G10
     632  0x0278  Kills_G11
     633  0x0279  TimePlayed_G11
     634  0x027a  Destruction_G11
     635  0x027b  KillsIAL_G11
     636  0x027c  DamageIAL_G11
     637  0x027d  DestructionIAL_G11
     638  0x027e  Kills_Date_G11
     639  0x027f  TimePlayed_Date_G11
     640  0x0280  KillsIAL_Date_G11
     641  0x0281  DamageIAL_Date_G11
     642  0x0282  DestructionIAL_Date_G11
     643  0x0283  Destruction_Date_G11
     644  0x0284  Kills_G12
     645  0x0285  TimePlayed_G12
     646  0x0286  Destruction_G12
     647  0x0287  KillsIAL_G12
     648  0x0288  DamageIAL_G12
     649  0x0289  DestructionIAL_G12
     650  0x028a  Kills_Date_G12
     651  0x028b  TimePlayed_Date_G12
     652  0x028c  KillsIAL_Date_G12
     653  0x028d  DamageIAL_Date_G12
     654  0x028e  DestructionIAL_Date_G12
     655  0x028f  Destruction_Date_G12
     656  0x0290  Kills_G13
     657  0x0291  TimePlayed_G13
     658  0x0292  Destruction_G13
     659  0x0293  KillsIAL_G13
     660  0x0294  DamageIAL_G13
     661  0x0295  DestructionIAL_G13
     662  0x0296  Kills_Date_G13
     663  0x0297  TimePlayed_Date_G13
     664  0x0298  KillsIAL_Date_G13
     665  0x0299  DamageIAL_Date_G13
     666  0x029a  DestructionIAL_Date_G13
     667  0x029b  Destruction_Date_G13
     668  0x029c  Kills_G14
     669  0x029d  TimePlayed_G14
     670  0x029e  Destruction_G14
     671  0x029f  KillsIAL_G14
     672  0x02a0  DamageIAL_G14
     673  0x02a1  DestructionIAL_G14
     674  0x02a2  Kills_Date_G14
     675  0x02a3  TimePlayed_Date_G14
     676  0x02a4  KillsIAL_Date_G14
     677  0x02a5  DamageIAL_Date_G14
     678  0x02a6  DestructionIAL_Date_G14
     679  0x02a7  Destruction_Date_G14
     680  0x02a8  Kills_G15
     681  0x02a9  TimePlayed_G15
     682  0x02aa  Destruction_G15
     683  0x02ab  KillsIAL_G15
     684  0x02ac  DamageIAL_G15
     685  0x02ad  DestructionIAL_G15
     686  0x02ae  Kills_Date_G15
     687  0x02af  TimePlayed_Date_G15
     688  0x02b0  KillsIAL_Date_G15
     689  0x02b1  DamageIAL_Date_G15
     690  0x02b2  DestructionIAL_Date_G15
     691  0x02b3  Destruction_Date_G15
    1500  0x05dc  Feats_F0
    1501  0x05dd  Feats_Date_F0
    1502  0x05de  Feats1_F0
    1503  0x05df  Feats2_F0
    1504  0x05e0  Feats3_F0
    1505  0x05e1  Feats_F1
    1506  0x05e2  Feats_Date_F1
    1507  0x05e3  Feats1_F1
    1508  0x05e4  Feats2_F1
    1509  0x05e5  Feats3_F1
    1510  0x05e6  Feats_F2
    1511  0x05e7  Feats_Date_F2
    1512  0x05e8  Feats1_F2
    1513  0x05e9  Feats2_F2
    1514  0x05ea  Feats3_F2
    1515  0x05eb  Feats_F3
    1516  0x05ec  Feats_Date_F3
    1517  0x05ed  Feats1_F3
    1518  0x05ee  Feats2_F3
    1519  0x05ef  Feats3_F3
    1520  0x05f0  Feats_F4
    1521  0x05f1  Feats_Date_F4
    1522  0x05f2  Feats1_F4
    1523  0x05f3  Feats2_F4
    1524  0x05f4  Feats3_F4
    1525  0x05f5  Feats_F5
    1526  0x05f6  Feats_Date_F5
    1527  0x05f7  Feats1_F5
    1528  0x05f8  Feats2_F5
    1529  0x05f9  Feats3_F5
    1530  0x05fa  Feats_F6
    1531  0x05fb  Feats_Date_F6
    1532  0x05fc  Feats1_F6
    1533  0x05fd  Feats2_F6
    1534  0x05fe  Feats3_F6
    1535  0x05ff  Feats_F7
    1536  0x0600  Feats_Date_F7
    1537  0x0601  Feats1_F7
    1538  0x0602  Feats2_F7
    1539  0x0603  Feats3_F7
    1540  0x0604  Feats_F8
    1541  0x0605  Feats_Date_F8
    1542  0x0606  Feats1_F8
    1543  0x0607  Feats2_F8
    1544  0x0608  Feats3_F8
    1545  0x0609  Feats_F9
    1546  0x060a  Feats_Date_F9
    1547  0x060b  Feats1_F9
    1548  0x060c  Feats2_F9
    1549  0x060d  Feats3_F9
    1550  0x060e  Feats_F10
    1551  0x060f  Feats_Date_F10
    1552  0x0610  Feats1_F10
    1553  0x0611  Feats2_F10
    1554  0x0612  Feats3_F10
    1555  0x0613  Feats_F11
    1556  0x0614  Feats_Date_F11
    1557  0x0615  Feats1_F11
    1558  0x0616  Feats2_F11
    1559  0x0617  Feats3_F11
    1560  0x0618  Feats_F12
    1561  0x0619  Feats_Date_F12
    1562  0x061a  Feats1_F12
    1563  0x061b  Feats2_F12
    1564  0x061c  Feats3_F12
    1565  0x061d  Feats_F13
    1566  0x061e  Feats_Date_F13
    1567  0x061f  Feats1_F13
    1568  0x0620  Feats2_F13
    1569  0x0621  Feats3_F13
    1570  0x0622  Feats_F14
    1571  0x0623  Feats_Date_F14
    1572  0x0624  Feats1_F14
    1573  0x0625  Feats2_F14
    1574  0x0626  Feats3_F14
    1575  0x0627  Feats_F15
    1576  0x0628  Feats_Date_F15
    1577  0x0629  Feats1_F15
    1578  0x062a  Feats2_F15
    1579  0x062b  Feats3_F15
    2000  0x07d0  Badge_B0
    2001  0x07d1  Badge_Date_B0
    2002  0x07d2  Badge_B1
    2003  0x07d3  Badge_Date_B1
    2004  0x07d4  Badge_B2
    2005  0x07d5  Badge_Date_B2
    2006  0x07d6  Badge_B3
    2007  0x07d7  Badge_Date_B3
    2008  0x07d8  Badge_B4
    2009  0x07d9  Badge_Date_B4
    2010  0x07da  Badge_B5
    2011  0x07db  Badge_Date_B5
    2012  0x07dc  Badge_B6
    2013  0x07dd  Badge_Date_B6
    2014  0x07de  Badge_B7
    2015  0x07df  Badge_Date_B7
    2016  0x07e0  Badge_B8
    2017  0x07e1  Badge_Date_B8
    2018  0x07e2  Badge_B9
    2019  0x07e3  Badge_Date_B9
    2020  0x07e4  Badge_B10
    2021  0x07e5  Badge_Date_B10
    2022  0x07e6  Badge_B11
    2023  0x07e7  Badge_Date_B11
    2024  0x07e8  Badge_B12
    2025  0x07e9  Badge_Date_B12
    2026  0x07ea  Badge_B13
    2027  0x07eb  Badge_Date_B13
    2028  0x07ec  Badge_B14
    2029  0x07ed  Badge_Date_B14
    2030  0x07ee  Badge_B15
    2031  0x07ef  Badge_Date_B15
    2032  0x07f0  Badge_B16
    2033  0x07f1  Badge_Date_B16
    2034  0x07f2  Badge_B17
    2035  0x07f3  Badge_Date_B17
    2036  0x07f4  Badge_B18
    2037  0x07f5  Badge_Date_B18
    2038  0x07f6  Badge_B19
    2039  0x07f7  Badge_Date_B19
    2040  0x07f8  Badge_B20
